Temp (dC),eta (cP)
4.35 ,1.55061 
5.00 ,1.51894 
6.00 ,1.47221 
7.00 ,1.42774 
8.00 ,1.38539 
9.00 ,1.34502 
10.00 ,1.30651 
11.00 ,1.26974 
12.00 ,1.23461 
13.00 ,1.20102 
14.00 ,1.16887 
15.00 ,1.13809 
16.00 ,1.10859 
17.00 ,1.08030 
18.00 ,1.05316 
19.00 ,1.02711 
20.00 ,1.00207 
21.00 ,0.97801 
22.00 ,0.95486 
23.00 ,0.93259 
24.00 ,0.91115 
25.00 ,0.89049 
26.00 ,0.87057 
27.00 ,0.85137 
28.00 ,0.83285 
29.00 ,0.81496 
30.00 ,0.79770 
31.00 ,0.78101 
32.00 ,0.76489 
33.00 ,0.74929 
34.00 ,0.73421 
35.00 ,0.71962 
36.00 ,0.70549 
37.00 ,0.69180 
38.00 ,0.67854 
39.00 ,0.66569 
40.00 ,0.65323 
41.00 ,0.64115 
42.00 ,0.62943 
43.00 ,0.61806 
44.00 ,0.60701 
45.00 ,0.59629 
46.00 ,0.58587 
47.00 ,0.57575 
48.00 ,0.56591 
49.00 ,0.55634 
50.00 ,0.54704 
51.00 ,0.53799 
52.00 ,0.52919 
53.00 ,0.52062 
54.00 ,0.51227 
55.00 ,0.50415 
56.00 ,0.49623 
57.00 ,0.48853 
58.00 ,0.48101 
59.00 ,0.47369 
60.00 ,0.46655 
61.00 ,0.45959 
62.00 ,0.45280 
63.00 ,0.44617 
64.00 ,0.43971 
65.00 ,0.43340 
66.00 ,0.42724 
67.00 ,0.42123 
68.00 ,0.41536 
69.00 ,0.40962 
70.00 ,0.40402 
71.00 ,0.39855 
72.00 ,0.39320 
73.00 ,0.38797 
74.00 ,0.38286 
75.00 ,0.37786 
76.00 ,0.37297 
77.00 ,0.36819 
78.00 ,0.36351 
79.00 ,0.35894 
80.00 ,0.35446 
81.00 ,0.35008 
82.00 ,0.34579 
83.00 ,0.34159 
84.00 ,0.33748 
85.00 ,0.33345 
86.00 ,0.32950 
87.00 ,0.32564 
88.00 ,0.32185 
89.00 ,0.31814 
90.00 ,0.31451 
91.00 ,0.31094 
92.00 ,0.30745 
93.00 ,0.30403 
94.00 ,0.30067 
95.00 ,0.29738 
96.00 ,0.29415 
97.00 ,0.29098 
98.00 ,0.28787 
99.00 ,0.28482 
100.00 ,0.28183 
